Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02641296,,,,,,,,,,99.13841248,,,,,,,,99.5,,99.51999664,,
Africa Eastern and Southern,AFE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54608917,68.81578064,69.28401947,69.77581787,69.84667969,69.57511139,69.76265717,69.82733917,70.30993652,70.44284058,70.65071106,69.80596924,70.53707123,70.49597931,70.57205963,72.35771179,72.72373199,73.92266846,71.99643707,70.01519012,71.08601379,71.53096008,72.08281708,73.35224152,75.87869263,77.62934113,78.56748199,78.9466095,79.25640869,79.81768036,80.20114136,80.44947815,80.98674774,81.22537994,,
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,30.06635094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99005127,,,,64.33999634,,,,,,55.9294014,
Africa Western and Central,AFW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,55.47032166,55.75894165,56.6253891,57.08666992,58.01921082,58.79167938,59.05830002,60.25505066,61.02719116,61.79309845,61.35388184,62.1075592,62.95072937,64.20758057,64.74047852,60.15111923,61.13882828,61.50827026,61.95412827,63.26435852,63.25246811,67.56627655,62.44580078,62.29487991,62.60749054,62.92158127,63.50513077,64.36778259,64.9990921,66.13159943,67.13033295,67.55252838,68.65187836,70.89620972,71.28836823,71.46015167,,
Angola,AGO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.19448853,,,,,,,,,,,,,77.43112946,,,,,,,82.83000183,
Albania,ALB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43515015,,,,,,,98.83120728,95.68000031,,98.7911911,99.23139954,,,,,,99.33000183,,,99.41999817,
Andorra,AND,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,61.22468948,61.55984879,61.94319153,62.49391937,63.20409012,63.90361023,64.68733215,65.87480164,67.04878998,68.39959717,69.28317261,70.38845062,71.40514374,72.50393677,73.97084045,74.92857361,74.67342377,75.52422333,76.3947525,77.44667816,78.23274994,78.89990234,79.60926056,80.16332245,81.11572266,82.09526062,82.97891998,83.60836792,84.03188324,82.615242,83.35726166,84.02979279,81.3112793,81.66349792,81.9905777,85.98126221,86.36728668,87.27565765,83.89524078,86.19068146,86.72386932,82.9618988,83.0786972,83.18003082,,
United Arab Emirates,ARE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,63.04761124,,,,,,,,,,82.47264099,,,,,,,,,,,,,,,,,,,,95.00644684,,,,,,,,,,,,,,96.31157684,,99.66266632,
Argentina,ARG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,96.88253784,,,,,,,,,,,98.30464172,,,,,,,,,,98.91665649,,,,,99.44608307,,,99.58428955,99.29863739,99.62824249,99.37586975,99.55132294,99.29670715,99.55970001,99.50270844,,99.50552368,,,,
